Ticker,Nome,Negócios,Última (R$),Variação,marketCap,marketCap_date
VITT3,Vittia,745.300,"8,17","+3,16%",1148889984.0,17/02/2024
DEXP4,Dexxos,1.000,"12,00","-2,83%",1133484032.0,17/02/2024
DEXP3,Dexxos,52.700,"12,11","+1,51%",1133483904.0,17/02/2024
OFSA3,Ourofino Saúde Animal,8.600,"20,75","-2,12%",1115677696.0,17/02/2024
ROMI3,Indústrias ROMI,212.000,"12,42","+0,98%",1102076288.0,17/02/2024
ZAMP3,Zamp,3.204.400,"4,08","-14,29%",1088433792.0,17/02/2024
BMOB3,Bemobi,167.900,"12,60","+2,27%",1087367424.0,17/02/2024
OPCT3,OceanPact,739.500,"5,43","+0,93%",1076019584.0,17/02/2024
CRPG3,Tronox Pigmentos,300,"37,30","-9,00%",1063049984.0,17/02/2024
CRPG5,Tronox Pigmentos,900,"36,16","+0,19%",1063049728.0,17/02/2024
CRPG6,Tronox Pigmentos,100,"36,49","+0,91%",1063048640.0,17/02/2024
PCAR3,Grupo Pão de Açúcar,2.397.800,"3,90","+1,83%",1052918144.0,17/02/2024
AALR3,Alliança,92.400,"8,68","+3,21%",1025698304.0,17/02/2024
POSI3,Positivo,600.300,"7,17","-0,69%",1004990208.0,17/02/2024
WIZC3,Wiz Soluções,315.900,"6,26","+1,62%",1001017920.0,17/02/2024
AVLL3,Alphaville,500,"5,10","+2,41%",996182976.0,17/02/2024
BRIV4,Alfa Investimento,200,"11,19","+1,73%",991210176.0,17/02/2024
BRIV3,Alfa Investimento,8.900,"11,20","+0,36%",991210048.0,17/02/2024
ALPK3,Estapar,105.500,"4,50","+2,04%",972040448.0,17/02/2024
WLMM4,WLM,3.000,"28,44","-1,93%",962056960.0,17/02/2024
WLMM3,WLM,200,"24,00","+0,00%",962056832.0,17/02/2024
EMAE3,EMAE,100,"26,01","+33,25%",961883648.0,17/02/2024
AERI3,Aeris Energy,2.584.200,"0,76","+0,00%",930589632.0,17/02/2024
MDNE3,Moura Dubeux,252.300,"10,98","+1,86%",916584000.0,17/02/2024
PINE3,PINE,400,"4,49","+10,59%",914352512.0,17/02/2024
PINE4,PINE,363.000,"4,43","+5,98%",914351936.0,17/02/2024
LJQQ3,Lojas Quero-Quero,1.852.600,"4,77","+1,49%",906152064.0,17/02/2024
MELK3,Melnick,170.500,"4,45","+1,14%",902095040.0,17/02/2024
APER3,Alper,700,"43,28","-1,19%",882513792.0,17/02/2024
BRGE7,Consórcio Alfa,1.600,"11,50","+6,28%",865829312.0,17/02/2024
BRGE3,Consórcio Alfa,100,"11,70","-1,02%",865829184.0,17/02/2024
BRGE8,Consórcio Alfa,200,"11,47","-2,88%",865829056.0,17/02/2024
BRGE11,Consórcio Alfa,4.300,"11,81","+3,51%",865828928.0,17/02/2024
BRGE6,Consórcio Alfa,200,"12,00","+0,08%",865828800.0,17/02/2024
BRGE5,Consórcio Alfa,500,"11,60","+0,00%",865828672.0,17/02/2024
BRGE12,Consórcio Alfa,100,"11,85","+3,77%",865828544.0,17/02/2024
PTBL3,Portobello,463.600,"5,85","+0,86%",824773952.0,17/02/2024
PEAB4,Participações Aliança da Bahia,100,"45,00","+2,25%",822419968.0,17/02/2024
PEAB3,Participações Aliança da Bahia,500,"42,00","+0,00%",822418816.0,17/02/2024
TRIS3,Trisul,383.700,"4,34","+1,64%",790370432.0,17/02/2024
LIPR3,Eletropar,100,"67,01","+0,00%",788365952.0,17/02/2024
CSUD3,CSU Cardsystem,68.700,"18,49","+0,71%",762832704.0,17/02/2024
CLSA3,ClearSale,581.700,"3,90","-1,76%",732911424.0,17/02/2024
SEER3,Ser Educacional,3.523.800,"5,60","-5,41%",718675968.0,17/02/2024
KRSA3,Kora Saúde,144.100,"0,91","-4,21%",699317760.0,17/02/2024
RPAD3,Alfa Holdings,1.200,"8,30","-0,24%",696916992.0,17/02/2024
RPAD6,Alfa Holdings,300,"8,05","-0,12%",696916736.0,17/02/2024
RPAD5,Alfa Holdings,100,"8,31","+1,34%",696916544.0,17/02/2024
SYNE3,SYN,94.100,"4,49","+3,22%",685371520.0,17/02/2024
OIBR3,Oi,24.007.400,"1,05","-0,94%",642186304.0,17/02/2024
OIBR4,Oi,152.600,"2,12","-0,47%",642186176.0,17/02/2024
ALLD3,Allied,10.100,"6,83","+0,15%",636696704.0,17/02/2024
PATI3,Panatlântica,100,"26,19","+0,73%",634282496.0,17/02/2024
PATI4,Panatlântica,200,"33,50","-1,47%",634282304.0,17/02/2024
CRIV4,Alfa Financeira,500,"6,20","-1,12%",630589568.0,17/02/2024
CRIV3,Alfa Financeira,15.000,"6,10","+0,00%",630587520.0,17/02/2024
CASH3,Méliuz,1.616.300,"7,05","-1,40%",610768320.0,17/02/2024
QUAL3,Qualicorp,8.596.400,"2,14","+5,42%",597590720.0,17/02/2024
PFRM3,Profarma,110.800,"4,80","+4,35%",588532800.0,17/02/2024
MTSA3,METISA,100,"79,00","+2,60%",553071104.0,17/02/2024
AMER3,Americanas,24.180.300,"0,59","+3,51%",532487936.0,17/02/2024
IFCM3,Infracommerce,6.010.100,"1,34","+2,29%",527706752.0,17/02/2024
MEAL3,IMC Alimentação,681.600,"1,83","+1,67%",522360704.0,17/02/2024
MTRE3,Mitre Realty,1.271.900,"4,87","+1,46%",515124224.0,17/02/2024
CGRA4,Grazziotin,6.400,"25,50","+1,03%",505846048.0,17/02/2024
CGRA3,Grazziotin,1.200,"24,75","-2,33%",505845440.0,17/02/2024
HBRE3,HBR Realty,445.100,"4,82","+1,47%",494527200.0,17/02/2024
PRNR3,Priner,215.900,"10,98","+0,09%",493230368.0,17/02/2024
BIOM3,Biomm,35.400,"5,36","-1,47%",490314016.0,17/02/2024
AFLT3,Afluente T,500,"7,74","-1,65%",488275552.0,17/02/2024
BGIP4,Banese,100,"25,80","-2,01%",470194656.0,17/02/2024
BGIP3,Banese,200,"27,05","-1,02%",470193920.0,17/02/2024
CAMB3,Cambuci,26.800,"11,20","+3,04%",469596960.0,17/02/2024
DOHL3,Döhler,100,"6,51","-7,00%",459837760.0,17/02/2024
DOHL4,Döhler,500,"4,97","+0,00%",459837312.0,17/02/2024
ETER3,Eternit,177.200,"7,15","+2,88%",441308736.0,17/02/2024
PTNT4,Pettenati,47.100,"7,70","-1,66%",438830688.0,17/02/2024
PTNT3,Pettenati,400,"12,00","+0,67%",438830400.0,17/02/2024
GFSA3,Gafisa,3.935.900,"6,00","+2,56%",415502400.0,17/02/2024
ESPA3,Espaçolaser,1.556.700,"0,98","+4,26%",354194560.0,17/02/2024
HBOR3,Helbor,651.500,"2,64","-1,49%",350312160.0,17/02/2024
RNEW3,Renova Energia,139.900,"1,36","+3,82%",336804000.0,17/02/2024
RNEW4,Renova Energia,473.400,"1,34","+3,08%",336803648.0,17/02/2024
FHER3,Fertilizantes Heringer,5.200,"5,96","-0,33%",320989504.0,17/02/2024
ENJU3,Enjoei,337.500,"1,55","+3,33%",314078048.0,17/02/2024
AGXY3,AgroGalaxy,286.000,"1,84","+1,66%",308069344.0,17/02/2024
CSAB4,Cia. de Seg. Aliança da Bahia,1.600,"48,97","+19,47%",305164896.0,17/02/2024
CSAB3,Cia. de Seg. Aliança da Bahia,100,"30,50","-1,61%",305164704.0,17/02/2024
DMVF3,D1000 Varejo Farma,73.300,"5,75","-3,36%",290966112.0,17/02/2024
BOBR4,Bombril,52.500,"2,32","+4,04%",285114080.0,17/02/2024
LPSB3,Lopes,150.600,"1,96","-0,51%",269084480.0,17/02/2024
MSPA3,Melhoramentos,400,"46,25","-7,52%",260454096.0,17/02/2024
AZEV3,Azevedo & Travassos,334.400,"1,53","+0,00%",256749296.0,17/02/2024
AZEV4,Azevedo & Travassos,1.355.900,"1,53","+0,66%",256749296.0,17/02/2024
NINJ3,GetNinjas,10.100,"5,05","-0,20%",256524864.0,17/02/2024
CEDO3,Cedro Têxtil,5.300,"24,84","+5,70%",251405648.0,17/02/2024
CEDO4,Cedro Têxtil,3.200,"25,54","-2,70%",251405040.0,17/02/2024
LVTC3,WDC Networks,23.600,"3,89","+0,00%",246865248.0,17/02/2024
NGRD3,Neogrid,445.300,"1,08","+0,93%",246805936.0,17/02/2024
PDTC3,Padtec,30.400,"3,00","-0,33%",238436112.0,17/02/2024
TECN3,Technos,170.600,"3,37","+0,60%",232458224.0,17/02/2024
MBLY3,Mobly,761.800,"2,18","+3,32%",232148208.0,17/02/2024
JOPA4,Josapar,100,"33,80","-1,20%",223911136.0,17/02/2024
IGBR3,IGB Eletrônica,700,"175,99","+1,14%",220075504.0,17/02/2024
JOPA3,Josapar,100,"21,00","+0,00%",219471008.0,17/02/2024
TCSA3,Tecnisa,50.900,"2,97","-2,62%",218649024.0,17/02/2024
EALT3,Electro Aço Altona,500,"9,31","+0,11%",218272960.0,17/02/2024
EALT4,Electro Aço Altona,14.500,"10,00","+1,11%",218272000.0,17/02/2024
MTSA4,METISA,700,"47,98","+1,05%",217694848.0,17/02/2024
MERC3,Mercantil do Brasil Financeira,51.500,"15,28","+1,13%",217247984.0,17/02/2024
HBTS5,Habitasul,400,"35,00","+6,06%",208261552.0,17/02/2024
TRAD3,Traders Club,883.300,"0,74","+4,23%",207201472.0,17/02/2024
RSUL4,Metalúrgica Riosulense,1.500,"78,25","+1,89%",195250960.0,17/02/2024
BAUH4,Excelsior,400,"80,86","+0,00%",192065952.0,17/02/2024
SEQL3,Sequoia Logística,9.531.100,"0,49","+2,08%",190552672.0,17/02/2024
AMAR3,Lojas Marisa,322.200,"2,72","+1,12%",186394528.0,17/02/2024
LUXM4,Trevisa,100,"15,89","-0,56%",184196880.0,17/02/2024
RDNI3,RNI,1.000,"4,31","-1,82%",181895360.0,17/02/2024
BAHI3,Bahema,3.500,"6,79","+0,59%",179192176.0,17/02/2024
INEP4,Inepar,29.400,"3,21","+2,56%",175781856.0,17/02/2024
UCAS3,Unicasa,41.300,"2,63","-0,38%",173807232.0,17/02/2024
ECPR3,Encorpar,300,"90,25","+12,97%",171909104.0,17/02/2024
ECPR4,Encorpar,100,"90,74","+0,42%",171908736.0,17/02/2024
PMAM3,Paranapanema,4.800,"3,79","+0,80%",164495088.0,17/02/2024
BMKS3,Monark,5,"360,00","+2,83%",163710000.0,17/02/2024
TPIS3,Triunfo,60.100,"3,75","+1,35%",162662624.0,17/02/2024
CTNM3,Coteminas,200,"9,65","-1,53%",157337456.0,17/02/2024
CTNM4,Coteminas,74.000,"1,38","-0,72%",157336560.0,17/02/2024
EPAR3,Embpar Participações,4.200,"9,70","+2,65%",144147824.0,17/02/2024
ODER4,Conservas Oderich,100,"100,00","+12,35%",142852000.0,17/02/2024
MNPR3,Minupar,200,"20,08","+1,57%",142568000.0,17/02/2024
RPMG3,Refinaria de Manguinhos,39.300,"2,07","+0,49%",140106512.0,17/02/2024
SHOW3,Time For Fun,351.700,"2,03","-2,87%",136847584.0,17/02/2024
WEST3,Westwing,17.000,"1,22","+0,83%",135180880.0,17/02/2024
RCSL4,Recrusul,1.062.800,"0,71","+1,43%",134310688.0,17/02/2024
RCSL3,Recrusul,4.700.200,"1,74","+4,82%",134310432.0,17/02/2024
AHEB5,São Paulo Turismo,100,"16,61","+0,00%",131056064.0,17/02/2024
AHEB3,São Paulo Turismo,200,"15,50","+0,00%",131056064.0,17/02/2024
AHEB6,São Paulo Turismo,100,"17,02","+0,06%",127572736.0,17/02/2024
INEP3,Inepar,40.900,"3,81","-2,31%",126791464.0,17/02/2024
SNSY6,Sansuy,100,"11,51","+4,64%",116635440.0,17/02/2024
SOND3,Sondotécnica,200,"46,01","+14,45%",107873664.0,17/02/2024
BALM3,Baumer,100,"11,70","+6,36%",107623856.0,17/02/2024
BALM4,Baumer,100,"10,30","+0,00%",107623672.0,17/02/2024
MNDL3,Mundial,900,"39,60","-0,10%",98187408.0,17/02/2024
DOTZ3,Dotz,5.700,"7,38","+3,22%",96331880.0,17/02/2024
TKNO4,Tekno,200,"69,90","+0,01%",95113632.0,17/02/2024
CTKA3,Karsten,100,"13,01","-12,27%",94671952.0,17/02/2024
CTKA4,Karsten,100,"17,20","+0,00%",94671904.0,17/02/2024
VIVR3,Viver,58.000,"3,88","-1,02%",92581848.0,17/02/2024
BMIN3,Banco Mercantil de Investimentos,200,"19,51","+0,98%",91569016.0,17/02/2024
BMIN4,Banco Mercantil de Investimentos,100,"15,89","+6,57%",91568984.0,17/02/2024
PLAS3,Plascar,300,"7,00","+2,64%",86977800.0,17/02/2024
MERC4,Mercantil do Brasil Financeira,200,"11,00","+0,00%",86134840.0,17/02/2024
SOND6,Sondotécnica,200,"50,00","-13,78%",81813000.0,17/02/2024
SOND5,Sondotécnica,100,"54,00","+0,00%",81812704.0,17/02/2024
ATMP3,Atma,6.700,"3,01","+1,35%",80391680.0,17/02/2024
NORD3,Nordon,2.400,"11,77","-10,97%",77934944.0,17/02/2024
LUPA3,Lupatech,128.700,"1,89","+4,42%",77565224.0,17/02/2024
RSID3,Rossi Residencial,54.500,"3,60","-4,76%",71117640.0,17/02/2024
NUTR3,Nutriplant,3.300,"5,20","-1,89%",68813680.0,17/02/2024
CALI3,Adolpho Lindenberg,500,"17,50","-8,85%",65116976.0,17/02/2024
CTSA3,Santanense,300,"3,24","+2,21%",62863776.0,17/02/2024
CTSA4,Santanense,33.200,"1,75","+0,00%",62863676.0,17/02/2024
BRPR3,BR Properties,10.600,"131,17","+2,48%",60919544.0,17/02/2024
DTCY3,Dtcom,200,"4,99","-0,20%",55544188.0,17/02/2024
SNSY3,Sansuy,14.800,"11,00","-0,81%",55407880.0,17/02/2024
SNSY5,Sansuy,2.100,"5,18","-1,52%",55407868.0,17/02/2024
SGPS3,Springs,570.800,"1,01","-1,94%",50500000.0,17/02/2024
MGEL4,Mangels,1.600,"13,35","-5,25%",49608200.0,17/02/2024
ATOM3,ATOM,62.400,"1,99","-2,45%",47371752.0,17/02/2024
ESTR4,Estrela,2.500,"3,75","-1,57%",41764876.0,17/02/2024
ESTR3,Estrela,100,"8,00","-20,00%",41764720.0,17/02/2024
JFEN3,João Fortes,11.600,"1,82","+0,55%",38294256.0,17/02/2024
FIEI3,Fica,300,"12,99","+8,25%",31463728.0,17/02/2024
MSPA4,Melhoramentos,100,"40,00","+0,00%",30920000.0,17/02/2024
PDGR3,PDG Realty,598.200,"0,34","-2,86%",26434592.0,17/02/2024
GSHP3,General Shopping & Outlets,100,"14,00","+0,00%",26254760.0,17/02/2024
HOOT4,Hotéis Othon,2.800,"2,83","-4,07%",22341406.0,17/02/2024
MWET3,Wetzel,100,"13,30","+0,08%",18258506.0,17/02/2024
HETA3,Hercules,200,"96,00","+0,00%",18051072.0,17/02/2024
HAGA4,Haga,4.200,"1,05","+1,94%",17850000.0,17/02/2024
HAGA3,Haga,1.000,"2,40","-2,83%",17850000.0,17/02/2024
SLED4,Saraiva,64.300,"1,60","-1,84%",16496320.0,17/02/2024
SLED3,Saraiva,3.000,"3,21","-0,31%",16496254.0,17/02/2024
OSXB3,OSX Brasil,16.600,"5,07","+4,75%",15960563.0,17/02/2024
BDLL4,Bardella,100,"8,01","+0,00%",15845863.0,17/02/2024
BDLL3,Bardella,600,"13,00","+18,18%",15845830.0,17/02/2024
NEXP3,Brasil Brokers,2.000,"4,75","-3,85%",12557860.0,17/02/2024
DMFN3,DM Financeira,100,"12,50","-10,71%",11385612.0,17/02/2024
TEKA4,Teka,17.500,"32,00","+19,85%",10727680.0,17/02/2024
FIGE3,Investimentos Bemge,100,"12,03","+99,83%",9529252.0,17/02/2024
MAPT4,Cemepe,100,"8,27","+0,00%",9294405.0,17/02/2024
MAPT3,Cemepe,100,"12,00","+0,00%",9294384.0,17/02/2024
TEKA3,Teka,100,"8,23","+1,73%",8371720.0,17/02/2024
MWET4,Wetzel,100,"5,62","-1,23%",7709403.0,17/02/2024
FRTA3,Pomi Frutas,4.700,"1,49","-1,32%",3059879.0,17/02/2024
HETA4,Hercules,3.600,"6,59","+6,46%",2232698.0,17/02/2024
CORR4,Corrêa Ribeiro,100,"82,00","+18,84%",1257716.0,17/02/2024
RAIZ4,Raízen,10.342.200,"3,89","+1,83%",,17/02/2024
IGTI4,Iguatemi,200,"10,11","-0,88%",,17/02/2024
IGTI4,Jereissati Participações,200,"10,11","-0,88%",,17/02/2024
MEGA3,OMEGA ENERGIA S.A.,2.220.100,"9,62","+1,48%",,17/02/2024
SQIA3,Sinqia,1.444.800,"27,37","-0,29%",,17/02/2024
ALSO3,Aliansce Sonae,5.883.300,"23,33","+2,06%",,17/02/2024
VIIA3,VIIA3,213.149.200,"0,75","+2,74%",,17/02/2024
ENBR3,EDP Brasil,1.697.900,"24,08","+0,12%",,17/02/2024
BOAS3,Boa Vista,23.239.000,"7,95","-0,38%",,17/02/2024
MODL3,Banco Modal,16.688.000,"3,08","+0,33%",,17/02/2024
CRDE3,CRDE3,400,"16,00","+0,00%",,17/02/2024
PARD3,Hermes Pardini,1.861.800,"18,10","+1,29%",,17/02/2024
WIZS3,WIZS3,779.400,"7,16","+1,99%",,17/02/2024
LLIS3,LLIS3,249.800,"1,73","+2,98%",,17/02/2024
BRML3,BRMalls,16.132.900,"8,26","+2,35%",,17/02/2024
DMMO3,Dommo Energia,3.254.800,"1,76","-1,12%",,17/02/2024
GETT3,Getnet,46.500,"2,40","+1,27%",,17/02/2024
GETT4,Getnet,18.500,"2,40","+1,27%",,17/02/2024
SULA4,SulAmérica,18.600,"7,63","+5,53%",,17/02/2024
SULA3,SulAmérica,4.000,"7,43","+1,50%",,17/02/2024
CEPE5,CELPE,100,"40,12","+0,02%",,17/02/2024
TCNO4,Tecnosolo,36.800,"0,85","-9,57%",,17/02/2024
TCNO3,Tecnosolo,3.400,"1,20","-1,64%",,17/02/2024
CEPE6,CELPE,100,"43,00","+6,17%",,17/02/2024
BKBR3,BKBR3,782.300,"7,63","+0,26%",,17/02/2024
MTIG4,Metalgráfica Iguaçu,100,"23,00","+0,00%",,17/02/2024
BLUT4,Blue Tech Solutions,171.100,"1,52","-5,59%",,17/02/2024
BLUT3,Blue Tech Solutions,13.400,"5,14","+0,59%",,17/02/2024
MODL4,Banco Modal,700,"2,72","-2,16%",,17/02/2024
CARD3,CARD3,118.000,"14,51","+1,82%",,17/02/2024
FNCN3,FNCN3,4.800,"14,25","-0,35%",,17/02/2024
LCAM3,Locamerica,26.118.900,"24,15","+1,86%",,17/02/2024
BIDI4,Banco Inter,52.479.800,"3,41","-2,01%",,17/02/2024
BIDI3,Banco Inter,15.262.400,"3,40","-2,58%",,17/02/2024
EEEL4,CEEE GT,100,"410,00","-2,88%",,17/02/2024
EEEL3,CEEE GT,400,"421,01","+5,25%",,17/02/2024
BBRK3,BBRK3,1.279.600,"0,80","+1,27%",,17/02/2024
CESP6,CESP,9.306.600,"25,25","+1,41%",,17/02/2024
CESP3,CESP,11.500,"25,55","+1,71%",,17/02/2024
CESP5,CESP,300,"25,00","+2,75%",,17/02/2024
MOSI3,Mosaico,1.021.200,"8,24","+3,00%",,17/02/2024
POWE3,Focus Energia,678.000,"10,90","-2,24%",,17/02/2024
GNDI3,NotreDame Intermédica,33.458.600,"65,34","+0,00%",,17/02/2024
LAME4,Lojas Americanas,43.631.000,"6,55","+2,02%",,17/02/2024
LAME3,Lojas Americanas,10.941.100,"6,62","+2,95%",,17/02/2024
OMGE3,Omega Geração,834.900,"27,57","-0,86%",,17/02/2024
IGTA3,IGTA3,1.643.400,"33,13","+0,18%",,17/02/2024
JPSA3,JPSA3,100.100,"29,02","+1,75%",,17/02/2024
BRDT3,BRDT3,24.483.500,"22,03","-5,17%",,17/02/2024
JBDU4,JBDU4,2.556.100,"1,36","+3,82%",,17/02/2024
JBDU3,JBDU3,1.890.100,"3,12","+9,09%",,17/02/2024
HGTX3,Hering,7.519.800,"37,50","-2,65%",,17/02/2024
CCPR3,CCPR3,328.200,"10,16","-4,51%",,17/02/2024
DTEX3,DTEX3,2.867.800,"20,63","-3,10%",,17/02/2024
VVAR3,VVAR3,64.987.000,"11,30","-6,38%",,17/02/2024
PNVL4,Dimed,2.000,"18,62","-2,67%",,17/02/2024
TESA3,Terra Santa,41.100,"48,00","-2,74%",,17/02/2024
BTOW3,BTOW3,11.169.600,"68,00","+4,15%",,17/02/2024
LINX3,Linx,8.510.000,"37,40","-0,27%",,17/02/2024
BTTL3,BTTL3,6.100,"19,72","-2,33%",,17/02/2024
GPCP3,GPCP3,698.100,"49,00","-3,92%",,17/02/2024
GPCP4,GPCP4,5.300,"45,51","-1,30%",,17/02/2024
SMLS3,Smiles,1.944.100,"22,40","-1,71%",,17/02/2024
MMXM3,MMX Mineração,1.240.300,"14,00","-30,35%",,17/02/2024
BSEV3,Biosev,528.800,"9,00","+8,43%",,17/02/2024
CNTO3,CNTO3,2.083.600,"28,08","+4,78%",,17/02/2024
TIET4,AES Tietê Energia,323.700,"3,51","+1,15%",,17/02/2024
TIET3,AES Tietê Energia,169.100,"3,49","+0,87%",,17/02/2024
CEPE3,CELPE,1.300,"128,00","+85,32%",,17/02/2024
CALI4,Adolpho Lindenberg,100,"50,00","+4,17%",,17/02/2024
CASN4,CASAN,100,"10,00","-16,67%",,17/02/2024
BPAR3,Banpará,100,"182,07","+20,58%",,17/02/2024
APTI4,Aliperti,200,"3.500,00","-61,96%",,17/02/2024
VSPT3,FCA,1.000.000,"4.999.999,50","+114,29%",,17/02/2024
MTIG3,Metalgráfica Iguaçu,400,"156,30","+29,60%",,17/02/2024
FIGE4,Investimentos Bemge,100,"38,01","-4,97%",,17/02/2024
LUXM3,Trevisa,200,"2,50","+8,23%",,17/02/2024
TKNO3,Tekno,100,"85,79","+10,64%",,17/02/2024
COCE6,Coelce,100,"35,00","+16,63%",,17/02/2024
MGEL3,Mangels,100,"75,00","+8,70%",,17/02/2024
CTSA8,Santanense,2.000,"1,00","+0,00%",,17/02/2024
MMAQ4,Minasmáquinas,14,"200,06","-28,55%",,17/02/2024
